Pat,1,2,3,4,5,6,8,10,13,14,15,17,18,19,20,21,22,23,24,25,26,28,29,31,32,34,36,39,40,41,43,44,45,46,101,102,103,104,105,106,108,109,112,113,114,116
CFC1B,0.890958,0.857505,0.845243,0.766938,1.191,0.986099,1.05943,0.940713,1.04658,0.852093,0.906817,1.20437,0.901413,1.0052,0.969657,0.984074,1.05868,0.975076,1.16021,0.947182,1.31531,0.972251,1.00452,1.08781,1.25929,1.16972,0.940731,0.781938,0.863859,1.24552,1.24235,0.951869,0.839312,1.01026,0.776125,0.966486,1.12272,0.957087,1.37104,1.07222,0.934575,1.0325,0.749091,0.870166,0.778362,1.26246
CLUAP1,0.958764,0.803042,0.940944,1.02141,0.949338,0.868557,0.928999,0.907755,1.03083,0.755392,0.94477,0.794252,0.959586,1.04706,0.807452,1.14414,0.814958,1.34175,0.728014,0.950881,0.67906,1.09224,0.938553,0.90649,0.777983,1.21034,0.923407,0.826089,0.942286,0.866692,1.09848,0.978122,0.77953,1.18414,1.07386,0.871943,0.937496,1.12285,0.864267,0.946408,1.09666,1.27221,0.87359,1.3344,0.926156,0.716536
LY9,1.20894,0.804704,0.736549,1.11307,1.10017,0.861718,1.24817,1.05674,0.782584,0.901177,1.17711,1.38149,0.84459,1.064,0.877453,1.50911,0.748989,1.05194,1.03105,1.24364,1.1172,1.18246,0.714916,1.38706,1.00607,0.846303,1.00117,0.502228,1.04487,1.0981,0.920321,0.699959,1.34866,1.06314,1.14633,1.28762,0.989395,0.824686,1.37808,0.949621,1.16162,0.90325,1.17696,1.19786,0.975199,1.55415
LRRC58,1.025,1.18277,1.15839,1.60154,1.06251,1.08038,0.932281,0.899885,0.815958,1.12037,1.18387,0.93791,0.974486,1.08968,1.08447,1.18917,0.882573,1.07643,0.990449,1.09765,0.780331,1.21936,1.03945,0.971658,1.17481,1.20899,1.02148,1.40054,0.928581,0.997701,0.907012,1.27288,1.00806,1.16717,1.16557,1.30997,1.07762,0.856802,0.887697,1.0032,1.10648,1.06526,1.30289,1.10979,1.09345,0.854323
ADAMTS8,1.28852,0.82798,0.814376,0.51134,1.06479,0.871732,1.46663,0.917585,1.05285,0.801005,0.728985,1.17907,0.580657,1.21915,0.811942,0.55178,0.839702,1.10037,0.682731,1.17843,1.24334,0.800889,0.983258,0.833026,0.644124,0.911359,0.973409,0.413454,1.0782,0.969462,1.03972,0.634177,0.693619,0.736017,1.00197,0.815226,1.09681,0.716999,1.15915,1.14467,1.00649,0.793727,1.23774,1.03618,1.06948,1.24459
LMO1,0.707914,1.12691,0.84655,0.909012,1,1.24552,0.987083,1.32733,0.976031,0.745176,0.790939,0.908961,1.03935,0.843087,1.13768,0.902795,1.13872,0.716645,1.42068,1.15751,1.45836,1.01918,1.19303,0.752058,0.767848,1.52186,1.21209,1.36535,0.947117,0.994734,1.21965,0.777483,1.23972,0.903842,1.13955,0.807619,1.10361,0.937151,0.99913,1.12091,0.968332,0.846977,1.19573,0.694214,1.5568,1.12953
C8orf39,0.982677,0.753699,0.912306,0.97577,0.61895,1.17712,2.20198,0.971872,0.83692,0.886193,1.65135,0.753836,0.940214,0.857962,0.932152,0.872489,0.620613,0.248062,1.17718,0.791922,0.409741,0.920014,0.467332,0.751926,1.18462,1.23548,1.33725,1.14518,0.941797,0.788293,1.59559,2.03346,0.743423,1.60295,0.758047,1.14855,0.799398,1.40732,1.3407,0.469882,0.894612,0.74954,1.18068,1.53594,1.00232,0.964594
KIAA1045,1.00853,1.04784,1.60923,1.26718,0.931195,1.21216,1.0169,0.833495,1.12883,0.830096,0.996402,1.261,0.728841,1.06576,0.918014,0.770252,1.2776,0.771411,1.01272,1.27406,0.841169,1.0056,1.15331,1.07289,0.924228,0.730675,0.880665,0.820528,0.894302,0.929018,0.972707,0.892108,0.849254,1.09988,0.765785,0.889555,1.26685,1.09325,1.17006,1.22903,1.16622,1.01426,0.992575,1.01443,1.30728,1.35444
CEACAM19,0.904481,1.10574,0.942674,0.785594,0.671524,1.144,1.31474,0.97719,1.19196,0.915612,0.945971,1.2663,0.705227,0.957339,0.919632,0.952684,1.01911,1.44503,1.13478,1.14434,2.25107,0.980923,1.01592,1.07835,1.17538,0.936676,1.30118,1.23113,0.917033,1.16132,0.969053,0.673791,0.983583,0.636978,0.788622,0.506614,1.01652,1.01854,1.34538,1.46065,1.33237,0.853851,1.05905,0.858184,0.87307,2.27916
